country,product,date,price_wo_tax_forecast,price_with_tax_forecast,price_with_tax_lower80,price_with_tax_upper80
ES,heating_oil,2026-08-24,1050.4854184811454,1311.6747160018067,1248.0198618048398,1375.3295701987734
ES,heating_oil,2026-08-31,1051.2393113644277,1312.428608885089,1239.11006118326,1385.747156586918
ES,heating_oil,2026-09-07,1051.2068963588308,1312.396193879492,1230.4381172225167,1394.3542705364675
ES,heating_oil,2026-09-14,1051.346637922412,1312.5359354430732,1222.7229955449802,1402.348875341166
ES,heating_oil,2026-09-21,1051.4068014892312,1312.5960990098924,1215.5449116102725,1409.6472864095122
ES,heating_oil,2026-09-28,1051.432703981515,1312.6220015021763,1208.8292409861328,1416.4147620182198
ES,heating_oil,2026-10-05,1051.2329556267694,1312.4222531474306,1202.2970539390224,1422.547452355839
ES,heating_oil,2026-10-12,1051.2377569120085,1312.4270544326698,1196.3131101020765,1428.5409987632631
ES,heating_oil,2026-10-19,1051.239824031038,1312.4291215516994,1190.6200444983047,1434.238198605094
ES,fuel_oil_1,2026-08-03,638.4986889341614,653.9986889341614,631.179219684728,676.8181581835947
ES,fuel_oil_1,2026-08-10,638.4986889341614,653.9986889341614,625.5719208036282,682.4254570646945
ES,fuel_oil_1,2026-08-17,638.4986889341614,653.9986889341614,620.9013459007946,687.0960319675281
ES,fuel_oil_1,2026-08-24,638.4986889341614,653.9986889341614,616.8128437052358,691.1845341630869
ES,fuel_oil_1,2026-08-31,638.4986889341614,653.9986889341614,613.1313418840913,694.8660359842314
ES,fuel_oil_1,2026-09-07,638.2047205597139,653.7047205597139,609.4611557798261,697.9482853396017
ES,fuel_oil_1,2026-09-14,638.2047205597139,653.7047205597139,606.3249147986791,701.0845263207488
ES,fuel_oil_1,2026-09-21,638.2047205597139,653.7047205597139,603.3837610748765,704.0256800445513
ES,fuel_oil_1,2026-09-28,638.2047205597139,653.7047205597139,600.6052673328123,706.8041737866155
