country,product,target_date,snapshot_taken_on,horizon_weeks,model_used,price_with_tax_forecast,price_wo_tax_forecast,price_with_tax_lower80,price_with_tax_upper80
IT,lpg,2026-08-24,2026-08-03,3,sarimax,756.042384280544,469.2707449362816,724.5541216402071,787.5306469208806
IT,lpg,2026-08-31,2026-08-03,4,sarimax,755.5206940332678,468.7490546890055,720.8431784863202,790.1982095802155
IT,lpg,2026-09-07,2026-08-03,5,sarimax,754.7834258783607,468.01178653409846,717.0995963765763,792.4672553801452
IT,lpg,2026-09-14,2026-08-03,6,sarimax,754.5130474858944,467.74140814163206,713.9869041564763,795.0391908153125
IT,lpg,2026-09-21,2026-08-03,7,sarimax,754.3183987384114,467.5467593941491,711.0966265529504,797.5401709238724
IT,lpg,2026-09-28,2026-08-03,8,sarimax,754.1782686986139,467.4066293543517,708.3920325892655,799.9645048079625
IT,lpg,2026-10-05,2026-08-05,9,sarimax,749.567946106936,465.6671264348048,709.0754906673619,790.0604015465099
IT,lpg,2026-10-12,2026-08-05,10,sarimax,749.4897124216928,465.5888927495617,706.3013064097457,792.67811843364
IT,lpg,2026-10-19,2026-08-05,11,sarimax,749.4333261914223,465.5325065192913,703.6800122837419,795.186640099103
NL,diesel,2026-07-13,2026-08-03,-3,gbm,2039.8995657265548,1131.1665905199432,1972.0184067979465,2073.8517574831403
NL,diesel,2026-07-20,2026-08-03,-2,gbm,2039.247398692862,1130.5144234862505,1972.0184067979465,2073.0488192907505
NL,diesel,2026-07-27,2026-08-03,-1,gbm,2033.970744916664,1125.2377697100526,1972.0184067979465,2073.162246493609
NL,diesel,2026-08-03,2026-08-03,0,gbm,2044.948631557451,1136.2156563508397,1971.005135969369,2078.980496090473
NL,diesel,2026-08-10,2026-08-03,1,gbm,2043.571506671536,1134.8385314649238,1970.0535411408569,2079.2471798278284
NL,diesel,2026-08-17,2026-08-03,2,gbm,2044.366093125848,1135.633117919236,1969.54749720016,2078.846111273532
NL,diesel,2026-08-24,2026-08-03,3,gbm,2046.8643001903288,1138.1313249837176,1969.54749720016,2078.986848396644
NL,diesel,2026-08-31,2026-08-03,4,gbm,2043.7174714401988,1134.9844962335872,1969.54749720016,2061.777339352868
NL,diesel,2026-09-07,2026-08-03,5,gbm,2048.917005220979,1140.1840300143672,1969.6692552400937,2071.384887964238
NL,diesel,2026-09-14,2026-08-03,6,gbm,2045.9491715805648,1137.216196373953,1967.55733933684,2071.327382567192
NL,diesel,2026-09-21,2026-08-03,7,gbm,2042.8647288550355,1134.1317536484237,1964.5499830571816,2071.205726658347
NL,diesel,2026-09-28,2026-08-03,8,gbm,2042.8647288550355,1134.1317536484237,1964.5499830571816,2071.7153588944457
NL,diesel,2026-10-05,2026-08-05,9,gbm,2223.417974894618,1250.1507848119734,2070.5769584478794,2268.6237452865525
NL,diesel,2026-10-12,2026-08-05,10,gbm,2223.071497809004,1249.8043077263592,2068.4561438047936,2264.5696527505306
NL,diesel,2026-10-19,2026-08-05,11,gbm,2223.071497809004,1249.8043077263592,2068.4561438047936,2266.15075721772
NL,euro95,2026-07-13,2026-08-03,-3,sarimax,2202.4263647847406,972.0128937103608,2179.373630767167,2225.479098802314
NL,euro95,2026-07-20,2026-08-03,-2,sarimax,2201.931646382249,971.5181753078692,2166.477217388592,2237.386075375907
NL,euro95,2026-07-27,2026-08-03,-1,sarimax,2201.687786567405,971.2743154930253,2155.9776965229794,2247.3978766118307
NL,euro95,2026-08-03,2026-08-03,0,sarimax,2202.297368585247,971.8838975108672,2147.73406658902,2256.860670581474
NL,euro95,2026-08-10,2026-08-03,1,sarimax,2202.2381163705063,971.8246452961264,2139.8455500515247,2264.630682689488
NL,euro95,2026-08-17,2026-08-03,2,sarimax,2202.208909383172,971.795438308792,2132.7651135252017,2271.652705241142
NL,euro95,2026-08-24,2026-08-03,3,sarimax,2202.1945124848808,971.7810414105006,2126.306737343046,2278.082287626716
NL,euro95,2026-08-31,2026-08-03,4,sarimax,2202.187415872072,971.7739447976924,2120.340722613155,2284.034109130989
NL,euro95,2026-09-07,2026-08-03,5,sarimax,2201.979596074062,971.566124999682,2114.5696841952163,2289.3895079529075
NL,euro95,2026-09-14,2026-08-03,6,sarimax,2201.977871763616,971.564400689236,2109.3337397959367,2294.6220037312955
